date,Close,High,Low,Open,Volume,sentiment,goldstein_mean
2017-11-14,10186.599609375,10248.0,10175.5498046875,10223.400390625,305000,-0.0941176470588235,-0.0711267605633802
2017-11-15,10118.0498046875,10175.4501953125,10094.0,10171.9501953125,207400,0.0172413793103448,0.1008350202429149
2017-11-16,10214.75,10232.25,10139.2001953125,10152.900390625,182600,0.0,0.3616240601503759
2017-11-17,10283.599609375,10343.599609375,10268.0498046875,10324.5498046875,203300,0.0348837209302325,0.1250697155605131
2017-11-20,10298.75,10309.849609375,10261.5,10287.2001953125,147200,-0.1121495327102803,0.174540059347181
2017-11-21,10326.900390625,10358.7001953125,10315.0498046875,10329.25,186100,0.0248756218905472,-0.1815896394108684
2017-11-22,10342.2998046875,10368.7001953125,10309.5498046875,10350.7998046875,157600,-0.0899470899470899,-0.2349840255591054
2017-11-23,10348.75,10374.2998046875,10307.2998046875,10358.4501953125,153000,-0.2837837837837837,0.2018723404255319
2017-11-24,10389.7001953125,10404.5,10362.25,10366.7998046875,129200,-0.034090909090909,-0.5087817117368274
2017-11-27,10399.5498046875,10407.150390625,10340.2001953125,10361.0498046875,141900,-0.1497005988023952,0.198595041322314
2017-11-28,10370.25,10409.5498046875,10355.2001953125,10387.900390625,196000,-0.1847826086956521,0.1761584051724138
2017-11-29,10361.2998046875,10392.9501953125,10345.900390625,10376.650390625,152500,-0.1034482758620689,-0.0565311069216267
2017-11-30,10226.5498046875,10332.7001953125,10211.25,10332.7001953125,342500,0.0047393364928909,-0.265022137887413
2017-12-04,10127.75,10179.2001953125,10095.7001953125,10175.0498046875,148600,-0.1149425287356321,0.1008949191685912
2017-12-05,10118.25,10147.9501953125,10069.099609375,10118.25,155500,-0.1588785046728972,-0.1998256827425915
2017-12-06,10044.099609375,10104.2001953125,10033.349609375,10088.7998046875,166100,-0.1256281407035175,0.0366317530319735
2017-12-07,10166.7001953125,10182.650390625,10061.900390625,10063.4501953125,166200,0.04,-0.0097858417608566
2017-12-08,10265.650390625,10270.849609375,10195.25,10198.4501953125,200000,-0.0282485875706214,-0.3631346003644884
2017-12-11,10322.25,10329.2001953125,10282.0498046875,10310.5,147400,-0.215311004784689,0.0536388888888888
2017-12-12,10240.150390625,10326.099609375,10230.2001953125,10324.900390625,175100,-0.1735537190082644,0.1090587595212187
2017-12-13,10192.9501953125,10296.5498046875,10169.849609375,10236.599609375,181600,-0.1770833333333333,-0.0006852925672113
2017-12-14,10252.099609375,10276.099609375,10141.5498046875,10229.2998046875,154300,-0.0684931506849315,-0.2497852848554251
2017-12-15,10333.25,10373.099609375,10319.650390625,10345.650390625,255100,0.0777777777777777,0.3164357073799548
2017-12-18,10388.75,10443.5498046875,10074.7998046875,10263.099609375,230400,0.1794871794871795,0.14762020990969
2017-12-19,10463.2001953125,10472.2001953125,10406.0,10414.7998046875,169100,-0.0470588235294117,0.3389419143714207
2017-12-20,10444.2001953125,10494.4501953125,10437.150390625,10494.400390625,175200,-0.0319148936170212,0.0934882386689615
2017-12-21,10440.2998046875,10473.9501953125,10426.900390625,10473.9501953125,151900,-0.0314465408805031,0.472736
2017-12-22,10493.0,10501.099609375,10448.25,10457.2998046875,138800,-0.1017964071856287,0.3879387938793879
2017-12-26,10531.5,10545.4501953125,10477.9501953125,10512.2998046875,155600,0.0273224043715847,0.1298445595854922
